index,公司,摘要,日期,媒体,强悲观,弱悲观,中性,弱乐观,强乐观
22879,东吴证券,东吴证券:证券新一代交易系统A5充分体现了科技赋能行业发展2021年1月20日  ????第七届证券期货科学技术奖评选结果日前正式揭晓，东吴证券与顶点软件联合研发建设的证券新一代交易系统A5荣获二等奖。该奖项是行业科技的权威认证，也,1月20日,证券日报,0,0,0.8,0.2,0
22880,东吴证券,"引进最贵经济学家任泽平,东吴证券近期大动作不断 - 时代财经2021年3月19日  据多家媒体确认，恒大集团首席经济学家任泽平已于3月18日正式入职东吴证券，任首席经济学家。3月19日早间，任泽平发表了一份“致谢信”以感谢一路上的师友，从",3月19日,百家号,0,0,0.6,0.4,0
22881,东吴证券,券商核心交易系统首次采用国产数据库:腾讯云TDSQL落地东吴...12月27日消息，腾讯云分布式数据库TDSQL日前在东吴证券新一代核心交易系统中成功落地，助力该系统成为行业首个从基础设施和底层系统到上层应用全面自主可控的核心交易系统。目前系统稳定运行两周,12月27日,央广网,0,0.1,0.6,0.3,0
22882,东吴证券,"券商配股成潮!东吴证券超80亿元配股落地,还有中信等4家券...12月22日晚间，东吴证券(601555.SH)发布公告称，截至认购缴款结束日，公司配股有效认购数量为11.27亿股，占此次可配股份总数11.52亿股的97.86%，认购金额为人民币81.03亿元。这已是东吴证券上市以",12月22日,界面新闻,0,0.1,0.7,0.2,0
22883,东吴证券,"任泽平官宣加盟东吴证券,担任首席经济学家 东吴证券应声大...2021年3月22日  来源：金融界网 金融界网3月22日消息 任泽平3月21日在其个人社交媒体发布视频宣布加盟东吴证券，担任首席经济学家。他表示随着注册制改革及多层次资本市场的建设、鼓励创新，中国资",3月22日,百家号,0,0,0.6,0.4,0
22884,东吴证券,「重要通知」复赛培训重磅开启|第一届“东吴证券杯”行业...2021年11月4日  第一届“东吴证券杯”行业研究报告大赛初赛于2021年9月15号正式开启。初赛围绕“碳中和远景规划下的2030年的清洁能源行业”“中国人口结构变化带来的行业机遇和挑战”“补短板中的,11月4日,百家号,0.05,0.15,0.6,0.15,0.05
22885,东吴证券,东吴证券:不存在任何出借证券行为 - 金融界2021年1月29日  东吴证券：不存在任何出借证券行为 来源：同花顺金融研究中心 同花顺（300033）金融研究中心1月29日讯，有投资者向东吴证券（601555）提问， 董秘，你好！最近,1月29日,金融界,0,0.3,0.6,0.1,0
22886,东吴证券,"东吴证券85亿融资惹争议,“花式圈钱”潮起,为何金融机构也...12月15日，东吴证券配股进入缴款时间，将停牌至22日。这家去年净利润仅17亿元的小券商，配股融资高达85亿元。实际上，配股的消息一出，东吴证券的股价已经“吓跌”，股民纷纷用脚投票，配股说明书",12月15日,市界观察,0.3,0.6,0.1,0,0
22887,东吴证券,东吴证券:维持东方财富(300059.SZ)“买入”评级 零售证券...东吴证券：维持东方财富(300059.SZ)“买入”评级 零售证券业务继续表现高增长 投资规模与收益表现亮眼 来源：智通财经网 智通财经APP获悉，东吴证券发布研究报告，预计随着东,,金融界,0,0,0.3,0.6,0.1
22888,东吴证券,东吴证券今起停牌六天 配股计划已先“搞绿”股价中新经纬12月15日电 (林坚)今日(12月15日)起，东吴证券将停牌六天。此前12月9日晚间，东吴证券发布公告称，公司将实施配股，拟按照每10股配售3股的比例向全体股东配售A股股份,12月15日,中新经纬,0.1,0.2,0.4,0.2,0.1
22889,东吴证券,"东吴证券:东方财富(300059.SZ)东财证券投顾牌照获批,维持...智通财经APP获悉，东吴证券发布研究报告称，东方财富(300059.SZ)东财证券投顾牌照获批，财富管理大有可为。预计随着权益市场进入黄金发展周期，公司零售财富管理业务进入良好",,金融界,0,0,0.3,0.6,0.1
22890,东吴证券,"辞别1500万年薪!任泽平加盟东吴证券,任首席经济学家 - 读创2021年3月19日  曾以1500万年薪刷屏的任泽平，职业又迎来新动向，已经加盟东吴证券，出任首席经济学家。3月18日，记者从知情人士处证实了这一消息，但相关转会事宜目前尚未履行完程序。据悉，东吴",3月19日,百家号,0,0,0.7,0.3,0
22891,东吴证券,"...正面临百年未有之大变局、大机遇,首谈加盟东吴证券原因...2021年4月6日  财联社（上海，记者 王可）讯，4月6日，“网红经济学家”任泽平再掀热议，举办加盟东吴证券后首场报告会，并首谈回归资本市场原因。东吴证券在苏州博物馆召开了以“让知识更有价值，",4月6日,财联社,0,0.3,0.6,0.1,0
22892,东吴证券,"东吴证券的野心,任泽平能满足吗? - 节点财经2021年9月23日  且不论同行“喊话”现象,作为圈内著名的“红人”,任泽平堪称“知识就是财富”的代表。从为世界500强的恒大站台,到及时抽身离开回归证券业,却选择了名头一般的东吴证券,任泽平仅这一",9月23日,节点财经,0,0.3,0.6,0.1,0
22893,东吴证券,东吴证券:给予伯特利买入评级东吴证券：给予伯特利买入评级 2021-11-16东吴证券股份有限公司黄细里对伯特利进行研究并发布了研究报告《线控制动国产替代加速最为受益标的》，本报告对伯特利给出买入评级,,百家号,0,0,0.9,0.1,0
22894,东吴证券,东吴证券85亿元配股的反馈意见:定期贷款从0飙升至40多亿是...2021年9月14日  9月13日盘后，东吴证券披露了配股申请文件反馈意见的回复，其中近三年东吴证券应收款-定期贷款大幅增长引起了证监会注意。据披露，2018年末~2021年6月末，东吴证券定期贷款分别为0,9月14日,每经牛眼,0,0.5,0.4,0.1,0
22895,东吴证券,东吴证券(601555.SH)配股发行成功 认购金额达81.03亿元东吴证券(601555.SH)配股发行成功 认购金额达81.03亿元 来源：智通财经网 智通财经APP讯，东吴证券(601555.SH)公告，公司配股认购缴款工作已于2021年12月21日(T+5日)结束。截,12月21日,金融界,0.1,0.1,0.5,0.2,0.1
22896,东吴证券,"从任泽平跳槽东吴证券,看江苏“券业二哥”之争2021年3月22日  任泽平加盟东吴证券出任首席经济学家的消息，最近几天刷屏金融圈。虽不能说任泽平在众多卖方首席中预测最准，但圈内的知名度绝对数得着。上一轮牛市前夕，他率先喊出“5000点不是梦",3月22日,暮雨潇潇adfqx,0,0.1,0.7,0.2,0
22897,东吴证券,东吴证券今起停牌六天 配股计划已先“搞绿”股价今日(12月15日)起，东吴证券将停牌六天。此前12月9日晚间，东吴证券发布公告称，公司将实施配股，拟按照每10股配售3股的比例向全体股东配售A股股份。具体来看，12月15日至12,12月15日,青瞳视角,0.1,0.2,0.4,0.2,0.1
22898,东吴证券,包揽北交所头两家过会项目!这家券商有何“秘籍”?新一轮配...东吴证券何以包揽北交所头两家过会项目？从11月26日的威博液压到12月3日的沪江材料，北交所上市委目前仅有的两个过会项目全部花落东吴证券。“金融服务实体是我们的初心。”,11月26日,人民资讯,0.1,0.1,0.3,0.3,0.2
22899,东吴证券,包揽北交所头两家过会项目!东吴证券有何秘籍?2021年12月10日  东吴证券何以包揽北交所头两家过会项目？从11月26日的威博液压到12月3日的沪江材料，北交所上市委目前仅有的两个过会项目全部花落东吴证券。“金融服务实体是我们的初心。”东吴证,12月10日,证券之星,0.1,0.1,0.3,0.3,0.2
22900,东吴证券,东吴证券近期动作不断:迎“75后”总裁 苏州金融业正被寄予...2021年3月17日  东吴证券迎“75后”总裁，从设立并购母基金到股权激励，公司近期动作不断，苏州金融业正被寄予厚望 财联社（上海，记者 刘超凤）讯，东吴证券迎“75后”总裁。据财联社记者获悉，薛,3月17日,新浪财经,0,0.1,0.6,0.3,0
22901,东吴证券,"东吴证券迎“75后”党委副书记,从设立并购母基金到股权激...2021年3月17日  东吴证券迎“75后”党委副书记，从设立并购母基金到股权激励，公司近期动作不断，苏州金融业正被寄予厚望 财联社（上海，记者 刘超凤）讯，东吴证券迎“75后”党委副书记。据财联社",3月17日,财联社,0,0.1,0.6,0.3,0
22902,东吴证券,东吴证券:证券新一代交易系统A5充分体现了科技赋能行业发...2021年1月20日  ????第七届证券期货科学技术奖评选结果日前正式揭晓，东吴证券与顶点软件联合研发建设的证券新一代交易系统A5荣获二等奖。该奖项是行业科技的权威认证，也是全行业唯一由官方组,1月20日,人民资讯,0.05,0.1,0.2,0.6,0.05
22903,东吴证券,"东吴证券大事件!最贵经济学家任泽平确认加盟,“任、陈、丁...2021年3月19日  东吴证券大事件！最贵经济学家任泽平确认加盟，“任、陈、丁三驾马车”格局正成，研究发力早见端倪 来源：财联社APP “网红经济学家”、“最贵经济学家”任泽",3月19日,新浪财经,0.05,0.05,0.2,0.6,0.1
22904,东吴证券,东吴证券迎“75后”总裁:从设立并购母基金到股权激励动作...2021年3月17日  原标题：东吴证券迎“75后”总裁，从设立并购母基金到股权激励，公司近期动作不断，苏州金融业正被寄予厚望 财联社（上海，记者 刘超凤）讯，东吴证券迎“75后,3月17日,新浪财经,0,0.1,0.3,0.3,0
22905,东吴证券,五年后重回券业 任泽平“东吴”首秀:未来最好的投资机会就...从任泽平到吴晓波，东吴证券牵手财经自媒体，力求打造以专业财经知识传播为主导的互联网财富管理3.0时代。4月6日下午，东吴证券在苏州博物馆与吴晓波频道战略合作签约，其首席经济学家任泽平作202,4月6日,新浪财经,0,0,0.6,0.3,0.1
22906,东吴证券,东吴证券“闪电”回购968万股 距离推出回购计划仅隔4个交...2021年3月11日  实施股权激励，东吴证券“闪电”回购968万股，已达下限一半，距离推出回购计划仅隔4个交易日 财联社（上海，记者 刘超凤）讯，进入2021年，又一家券商发出股票,3月11日,新浪财经,0,0.15,0.7,0.15,0
22907,东吴证券,东吴证券85亿元配股的反馈意见:定期贷款从0飙升至40多亿是...2021年9月13日  9月13日盘后，东吴证券披露了配股申请文件反馈意见的回复，其中近三年东吴证券应收款-定期贷款大幅增长引起了证监会注意。据披露，2018年末~2021年6月末，东吴,9月13日,每日经济新闻,0.1,0.4,0.5,0,0
22916,辽宁能源投资,"【要闻】市政府与辽宁能源投资集团加快推进战略合作 - 澎...2021年8月24日  今天,市委副书记、市长郝建军会见了辽宁能源投资(集团)有限责任公司董事长李海峰一行,双方围绕新能源领域投资建设项目合作推进情况进行了深入交流。  郝建军代表丹东市委、市政府欢",8月24日,澎湃新闻客户端,0.05,0.1,0.3,0.5,0.05
22932,辽宁能源投资,辽宁能源(600758.SH):辽能产控集团受辽宁省国资委委托对沈...2021年12月8日  辽能产控集团直接持有公司股份3.18亿股，并通过控股子公司辽宁能源投资(集团)有限责任公司(“辽能投资”)间接持有公司股份9722.9797万股，合计持有公司股份415,12月8日,格隆汇,0,0,1,0,0
22936,辽宁能源投资,"辽宁能源年度业绩亏损,原控股股东快速淡出 - 新浪财经2021年3月1日  此次收购之后，辽宁能源将直接持有红阳能源24.05%的股份，加上其通过辽宁能源投资有限责任公司间接持有7.35%的股份，合计持有31.41%的股份，成为第一大股东。此次收购的目的是为了深",3月1日,新浪财经,0,0.6,0.4,0,0
22939,辽宁能源投资,"辽宁能源最新公告:减持期过半 中国信达已减持595.41万股公司董事长为郭洪波。郭洪波先生:1968年9月出生,中国国籍,硕士学历,教授级高级工程师,2014年12月至今，任辽宁能源投资（集团）有限责任公司党委书记、董事长；2018年10月至20",,证券之星,0,0.1,0.9,0,0
22944,辽宁能源投资,"辽宁能源最新公告:第三季度净利润为6051.82万元2021年10月28日  郭洪波先生:1968年9月出生,中国国籍,硕士学历,教授级高级工程师,2014年12月至今，任辽宁能源投资（集团）有限责任公司党委书记、董事长；2018年10月至2019年7",10月28日,证券之星,0,0,0.9,0.1,0
22957,浙江荣盛控股,"别老瞅着三桶油,民营这几个炼化巨头还是得知道2021年1月12日  浙江荣盛控股集团总部位于浙江省杭州市，始创于1989年，目前已发展成为拥有石化、化纤、房产、物流、创投等产业的企业集团。2019年营收1286亿元，目前荣盛控股集团已布局从炼化、芳",1月12日,百家号,0,0,1,0,0
22958,浙江荣盛控股,"2021年《财富》世界500强出炉,萧山这两家企业首次上榜! - ...2021年8月3日  1浙江荣盛控股集团 浙江荣盛控股集团以石化、聚酯为主业，同时，涉足房产、贸易、物流、创投等产业。目前主业已形成原油——芳烃（PX）、烯烃——精对苯二甲酸（PTA）、乙二醇（MEG",8月3日,萧山网,0,0,0.9,0.1,0
22960,浙江荣盛控股,"浙江民营企业前10名:雅戈尔、中天均上榜,第一年营收超3300...2021年7月25日  浙江荣盛控股是排在第四的企业，年营收为2056亿元。主要经营的业务有物流、贸易、石化、房地产等等。和海亮集团一样，荣盛控股发展的方向也是多元化。据了解，荣盛控股旗下有超过10",7月25日,麒麟说财经,0,0,0.9,0.1,0
22961,浙江荣盛控股,"2021浙商最赚钱的10家企业出炉,谁是浙江商人的骄傲?涨知识2021年10月19日  浙商银行创办于2004年,总部位于浙江杭州,由沈仁康担任董事长,浙商银行立足浙江、面向全国,是一家成长迅速的股份制商业银行。 第5名 浙江荣盛控股集团 净利润130亿元 荣盛控股位于",10月19日,锐盘点,0,0,0.9,0.1,0
22962,浙江荣盛控股,"2021年浙江民企十强榜单发布!杭州占据五席,阿里巴巴位居第...3.浙江荣盛控股集团有限公司 作为一家化纤起步的企业集团，荣盛控股目前发展成为了一家涉及地产、石化、物流、贸易为一体的集团公司。2021年荣盛控股集团在“中国民营企业500强”榜单中，排名13位",,零点财经社,0,0,0.9,0.1,0
22963,浙江荣盛控股,"浙江低调的民企巨头:每个月净赚11亿元,背后老板身价1300亿值得一提的是，在浙江A股上市公司中，除了银行之外，目前最赚钱的企业则是荣盛石化，它是浙江荣盛控股集团旗下上市公司，在2021年上半年的净利润来到了65.6亿元，这相当于平均每个月净赚11亿元。",,互联网老油条,0,0,0.3,0.6,0.1
22964,浙江荣盛控股,荣盛控股拟发行不超过10亿元超短期融资券 期限270天 - 金...焦点财经讯 耿宸斐10月13日，据上清所消息，浙江荣盛控股集团有限公司拟发行2021年度第八期超短期融资券。募集说明书显示，本期基础发行规模人民币5亿元，发行金额上限人民币,10月13日,金融界,0,0.2,0.6,0.2,0
22965,浙江荣盛控股,"浙江萧山“一号人物”:控股2家、参股1家上市公司,年营收30...2021年12月9日  李水荣，1956年7月出生，浙江萧山人，高级经济师，现任浙江荣盛控股集团有限公司董事长，荣盛石化股份有限公司实际控制人、董事长、董事、法定代表人，宁波联合集团股份有限公司实",12月9日,闽商精英圈,0,0,1,0,0
22966,浙江荣盛控股,荣盛控股:完成发行10亿元超短期融资券 票面利率3.18%中国网地产讯 10月18日，据上清所消息，荣盛控股完成发行10亿元超短期融资券。债券名称浙江荣盛控股集团有限公司2021年度第八期超短期融资券，债券简称为21荣盛SCP008，债券,10月18日,房产红榜,0.1,0.15,0.5,0.15,0.1
22967,浙江荣盛控股,荣盛控股不超60亿元公司债券在上交所提交注册 - 新浪财经荣盛控股不超60亿元公司债券在上交所提交注册 来源：中国网地产 中国网地产讯 8月19日，据上交所消息，浙江荣盛控股集团有限公司2021年面向专业投资者公开发行公司债券在上交所提交注册。募集说明,8月19日,新浪财经,0,0,0.8,0.15,0.05
22975,浙江荣盛控股,《财富》世界500强榜单 藏着多少中国企业“黑马”? - 凤凰...2021年8月4日  在新上榜和重新上榜的45家公司中，中国公司占据了18家，其中多以传统制造业以及能源企业为主，包括中国船舶集团、浙江荣盛控股集团、浙江恒逸集团、潍柴动力、,8月4日,百家号,0,0,0.5,0.5,0
22979,浙江荣盛控股,"荣盛石化专题研究报告:聚酯行业领军者,民营炼化风向标荣盛石化股份有限公司由浙江荣盛控股集团有限公司控股，集团前身益农网络化纤厂成立于 1989 年，多年深耕于化纤行业，并于 1995 年改为荣盛纺织有限公司。荣盛石化系荣盛控股与自然人李水 荣、李",,财是,0,0,0.9,0.1,0
22981,浙江荣盛控股,"2021年财富世界500强,中国房地产成最大赢家 - 大伟看楼市《财富》世界500强排行榜一共有45家新上榜和重新上榜公司，其中新上榜和重新上榜的中国公司有18家，它们是：中国船舶集团、浙江荣盛控股集团、浙江恒逸集团、融创中国控股有限公司、敬业集团、新",,百家号,0,0,1,0,0
22982,浙江荣盛控股,宁波联合:控股股东荣盛控股累计质押股数占比66.36% - 每日...2021年7月1日  宁波联合：控股股东荣盛控股累计质押股数占比66.36% 每经AI快讯，宁波联合（SH 600051，收盘价：6.61元）7月1日晚间发布公告称，公司的控股股东浙江荣盛控股集团有限公司持有公司股,7月1日,每日经济新闻,0,0.6,0.3,0.1,0
22983,浙江荣盛控股,多弗集团登榜“2021浙商全国500强”前十强!2021年8月19日  此次位列“2021浙商全国500强”前十位的公司依次为阿里巴巴集团有限公司、物产中大集团股份有限公司、浙江吉利控股集团有限公司、浙江荣盛控股集团有限公司、青山控股集团有限公司,8月19日,百家号,0,0,0.3,0.6,0.1
22987,浙江荣盛控股,"荣盛石化专题报告:石化构筑业绩安全垫,新材料打开估值空间2021年10月13日  截止至 2021 年 6 月，董事长 李水荣先生直接控股荣盛石化 7.58%，并通过控股浙江荣盛控股集团有限公司 60.88% 股份，间接控股荣盛石化比例 37.25%；直接间接",10月13日,百家号,0,0,0.9,0.1,0
22989,浙江荣盛控股,"2021年浙江10大富豪出炉,个个实力不凡,你了解几位?2021年10月21日  李水荣出生于1956年,现任浙江荣盛控股集团董事长。荣盛控股位于杭州市,是一家涉及石化、化纤、房产、物流等产业的现代企业集团。 第3名 丁磊 拥有财富 1,930亿元 丁磊出生于1971年",10月21日,锐盘点,0,0,0.8,0.1,0.1
22990,浙江荣盛控股,李水荣:石化大王的地产歧路 - 乐居财经2021年6月16日  过去的二十余年里，出身木匠、颇具几分赌性的他，因几番踩中节点，支起了一家横跨石化、化纤、房产、物流、创投等产业的民企——浙江荣盛控股集团有限公司（简称“浙江荣盛”）。去,6月16日,乐居财经,0,0,0.9,0.1,0
22991,浙江荣盛控股,"浙江民营公司“冠军”:力压奥克斯、雅戈尔,年收入超过3300...2021年7月5日  榜单2-4名是青山控股、浙江恒逸集团以及浙江荣盛控股。企业营收分别为2626亿、2152亿以及2056亿元。青山控股总部位于浙江温州，主要生产不锈钢钢锭、钢棒、板材、线材、无缝管等产品",7月5日,柳先说,0,0,1,0,0
22992,浙江荣盛控股,2021中国民营企业500强发布 浙江96家上榜位列全国第一! - ...2021年9月25日  去年上榜的11家千亿元级企业，继续保持千亿级头雁地位，在此基础上，阿里巴巴（中国）有限公司作为首次参与单位，以营收6442亿元遥居浙江首位，吉利控股（3256亿元）、浙江荣盛控股,9月25日,百家号,0,0,0.4,0.6,0
22993,浙江荣盛控股,"油价温和区间,关注石化产业债 - 广发证券
2021年7月26日 2003年1月,公司更名为荣盛化纤集团有限公司。2006年10月,公司股东将所持85%股权转让给新成立的浙江荣盛控股集团有限公司,荣盛化纤集团有限公司整体变更为浙江荣盛化纤股份有限公司,...
百家号",7月26日,,0,0,0.8,0.1,0.1
22994,浙江荣盛控股,"荣盛石化专题报告:450亿炼化盈利中枢,8倍历史估值底部2021年9月1日  公司控股股东为浙江荣盛控股集团有限公司。实际控制人为董事长李水荣，直接持有荣盛石化6.35%的股权，其控股的荣盛控股集团直接持有荣盛石化61.27%的股权，李水荣直接或间接持有荣盛",9月1日,管是,0,0.1,0.7,0.2,0
22995,浙江荣盛控股,"2021中国民营制造业企业500强排行榜 - 中商情报网
前十企业分别为:华为投资控股有限公司、恒力集团有限公司、正威国际集团有限公司、联想控股股份有限公司、浙江吉利控股集团有限公司、浙江荣盛控股集团有限公司、青山控股集...
百家号",,,0,0,0.4,0.6,0
22996,浙江荣盛控股,"浙江民营企业百强榜:前十名都是谁,冠军年营收超3300亿2020年的浙江省民营企业排行榜前十名分别是：浙江吉利控股集团有限公司、青山控股集团有限公司、浙江恒逸集团有限公司、浙江荣盛控股集团有限公司、海亮集团有限公司、万向集团公司、雅戈尔集团股",,老喻商业,0,0,0.4,0.6,0
22997,浙江荣盛控股,"棒!2021年《财富》世界500强出炉,萧山这两家企业首次上榜 ...2021年8月2日  浙江荣盛控股集团  以营业收入447.259亿美元首次上榜  排名第255位  恒逸集团  以营业收入385.62亿美元首次上榜  位列第309名  这标志着这两家企业  正式迈入全球大公司、大集团行列",8月2日,澎湃新闻客户端,0,0,0.4,0.6,0
23002,浙江荣盛控股,"2021中国民企500强榜单发布!宁海这些企业上榜 - 澎湃在线2021年9月26日  浙江上榜的千亿级企业从11家增加到14家。阿里巴巴(中国)有限公司作为首次参与单位,以营收6442亿元遥居浙江省首位,吉利控股(3256亿元)、浙江荣盛控股(3086亿元)",9月26日,澎湃新闻客户端,0,0,0.4,0.6,0
23003,浙江荣盛控股,"2021财富世界500强公布,143家中国企业上榜2021年8月2日  今年《财富》世界500强排行榜中，新上榜和重新上榜的中国公司有18家，分别为：中国船舶集团、浙江荣盛控股集团、浙江恒逸集团、融创中国控股有限公司、敬业集团、新希望控股集团、新",8月2日,百家号,0,0,0.4,0.6,0
23004,浙江荣盛控股,"浙江民营企业百强榜出炉,前15名都是谁?“冠军”年营收超33...2021年7月9日  排在浙江民营企业的第二-第六名的企业分别为：青山控股、浙江恒逸集团、浙江荣盛控股、海亮集团以及万向集团。它们的年营收分别为：2626亿、2152亿、2056亿、1879亿，以及1305亿。从",7月9日,麒麟说财经,0,0,0.4,0.6,0
